
央视,#genre#
CCTV1,http://leidayu.f3322.net:8086/hls/2/index.m3u8  
CCTV2,http://leidayu.f3322.net:8086/hls/3/index.m3u8  
CCTV3,http://leidayu.f3322.net:8086/hls/4/index.m3u8  
CCTV4,http://leidayu.f3322.net:8086/hls/5/index.m3u8  
CCTV5,http://leidayu.f3322.net:8086/hls/6/index.m3u8
CCTV5+,http://leidayu.f3322.net:8086/hls/252/index.m3u8
CCTV6,http://leidayu.f3322.net:8086/hls/7/index.m3u8  
CCTV7,http://leidayu.f3322.net:8086/hls/8/index.m3u8  
CCTV8,http://leidayu.f3322.net:8086/hls/9/index.m3u8  
CCTV9,http://leidayu.f3322.net:8086/hls/10/index.m3u8  
CCTV10,http://leidayu.f3322.net:8086/hls/11/index.m3u8  
CCTV11,http://leidayu.f3322.net:8086/hls/12/index.m3u8  
CCTV12,http://leidayu.f3322.net:8086/hls/13/index.m3u8  
CCTV13,http://leidayu.f3322.net:8086/hls/14/index.m3u8  
CCTV14,http://leidayu.f3322.net:8086/hls/15/index.m3u8 
CCTV15,http://leidayu.f3322.net:8086/hls/16/index.m3u8  
CCTV16,http://leidayu.f3322.net:8086/hls/17/index.m3u8
CCTV17,https://163.177.126.147:10443/hls/34/index.m3u8
怀旧剧场,http://leidayu.f3322.net:8086/hls/56/index.m3u8
第一剧场,https://163.177.126.147:10443/hls/116/index.m3u8

卫视,#genre#
广东卫视,http://leidayu.f3322.net:8086/hls/44/index.m3u8
广西卫视,http://leidayu.f3322.net:8086/hls/48/index.m3u8
海南卫视,http://leidayu.f3322.net:8086/hls/50/index.m3u8
河南卫视,http://leidayu.f3322.net:8086/hls/52/index.m3u8
湖北卫视,http://leidayu.f3322.net:8086/hls/54/index.m3u8
湖南卫视,http://leidayu.f3322.net:8086/hls/55/index.m3u8
江苏卫视,http://leidayu.f3322.net:8086/hls/59/index.m3u8
深圳卫视,http://leidayu.f3322.net:8086/hls/79/index.m3u8
四川卫视,http://leidayu.f3322.net:8086/hls/82/index.m3u8
重庆卫视,http://leidayu.f3322.net:8086/hls/100/index.m3u8
浙江卫视,http://leidayu.f3322.net:8086/hls/101/index.m3u8
浙江卫视,http://leidayu.f3322.net:8086/hls/128/index.m3u8
东方卫视,http://leidayu.f3322.net:8086/hls/129/index.m3u8
北京卫视,http://leidayu.f3322.net:8086/hls/131/index.m3u8
江西卫视,http://leidayu.f3322.net:8086/hls/132/index.m3u8
山东卫视,http://leidayu.f3322.net:8086/hls/133/index.m3u8
安徽卫视,http://leidayu.f3322.net:8086/hls/137/index.m3u8
天津卫视,http://leidayu.f3322.net:8086/hls/140/index.m3u8
贵州卫视,http://leidayu.f3322.net:8086/hls/143/index.m3u8
河北卫视,http://leidayu.f3322.net:8086/hls/144/index.m3u8
山西卫视,http://leidayu.f3322.net:8086/hls/145/index.m3u8
陕西卫视,http://leidayu.f3322.net:8086/hls/146/index.m3u8
内蒙古卫视,http://leidayu.f3322.net:8086/hls/147/index.m3u8
吉林卫视,http://leidayu.f3322.net:8086/hls/150/index.m3u8
黑龙江卫视,http://leidayu.f3322.net:8086/hls/248/index.m3u8
辽宁卫视,http://leidayu.f3322.net:8086/hls/251/index.m3u8
西藏卫视,http://leidayu.f3322.net:8086/hls/152/index.m3u8
新疆卫视,http://leidayu.f3322.net:8086/hls/153/index.m3u8
云南卫视,http://leidayu.f3322.net:8086/hls/154/index.m3u8
宁夏卫视,http://leidayu.f3322.net:8086/hls/155/index.m3u8
甘肃卫视,http://leidayu.f3322.net:8086/hls/157/index.m3u8
东南卫视,http://leidayu.f3322.net:8086/hls/161/index.m3u8


香港,#genre#
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB Plus,https://cdn6.101.qzz.io/163189/tvbp
TVB 星河,https://cdn6.101.qzz.io/163189/tvbxh
无线新闻台,https://cdn6.101.qzz.io/163189/wxxw
NOW新闻,https://cdn.163189.xyz/163189/now
NOW英超1台ㅤ,http://lunar.pm:8080/melodyg/uQnLQnTkRj/117457
NOW英超1台,http://109.61.81.147:1935/cdn7/767/mpegts?token=1d8c18a3d377f5418d2501aa54082b60
NOW英超2台ㅤ,http://lunar.pm:8080/melodyg/uQnLQnTkRj/117458
NOW英超3台ㅤ,http://lunar.pm:8080/melodyg/uQnLQnTkRj/117459
NOW星影台,http://bxtv.3a.ink/api.php?id=xingying
NOW爆谷台,http://bxtv.3a.ink/api.php?id=baogu
NOW星影台双音轨,https://bee.946985.filegear-sg.me/nowxyt/xingyingtai.m3u8
NOW爆谷台双音轨,https://bee.946985.filegear-sg.me/nowbgt/baogutai.m3u8
凤凰中文台,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯台,https://cdn6.101.qzz.io/163189/fhzx
凤凰香港台,https://cdn6.101.qzz.io/163189/fhhk
凤凰电影台,http://www.liyajun.top:7088/udp/239.253.93.81:6247
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
HOY 77,https://cdn6.101.qzz.io/163189/hoy
ViuTV,https://cdn.163189.xyz/163189/viu
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial

综合,#genre#
CHC影迷电影,https://163.177.126.147:10443/hls/53/index.m3u8
CHC家庭影院,https://163.177.126.147:10443/hls/118/index.m3u8
CHC动作电影,https://163.177.126.147:10443/hls/119/index.m3u8
华数动画电影,http://leidayu.f3322.net:8086/hls/78/index.m3u8
澳门莲花,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
新加波5频道,https://cdn6.101.qzz.io/163189/ch5
新加波8频道,https://cdn6.101.qzz.io/163189/ch8
新加波U频道,https://cdn6.101.qzz.io/163189/chu
奥地利红牛,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8
北京文艺,http://114.242.62.109:888/hls/18/index.m3u8
北京纪实科教,http://114.242.62.109:888/hls/19/index.m3u8
北京影视,http://114.242.62.109:888/hls/20/index.m3u8
北京财经,http://114.242.62.109:888/hls/21/index.m3u8
北京体育休闲,http://114.242.62.109:888/hls/22/index.m3u8
北京生活,http://114.242.62.109:888/hls/23/index.m3u8
北京新闻,http://114.242.62.109:888/hls/25/index.m3u8
北京卡酷少儿,http://114.242.62.109:888/hls/26/index.m3u8
北京国际,http://114.242.62.109:888/hls/27/index.m3u8
Nat Geo WILD,http://103.162.46.224:6100/udp/230.100.1.50:5024
Animal Planet,http://published.duckdns.org:4022/udp/232.84.3.61:11686
奥地利红牛,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8
